@relation gesture

@attribute ERSRX real
@attribute ERSRY real
@attribute ERSRZ real
@attribute WRERX real
@attribute WRERY real
@attribute WRERZ real
@attribute HRWRX real
@attribute HRWRY real
@attribute HRWRZ real
@attribute ELSLX real
@attribute ELSLY real
@attribute ELSLZ real
@attribute WLELX real
@attribute WLELY real
@attribute WLELZ real
@attribute HLWLX real
@attribute HLWLY real
@attribute HLWLZ real
@attribute HLWRX real
@attribute HLWRY real
@attribute HLWRZ real
@attribute SCSRER real
@attribute SRERWR real
@attribute ERWRHR real
@attribute SCSLEL real
@attribute SLELWL real
@attribute ELWLHL real
@attribute DisHRHL real
@attribute name {bentuk,hai,alquran,hormat,wadah,hamba,ketua,gang}

@data
0.52976,0.51463,0.46884,0.47203,0.52620,0.51363,0.49086,0.50995,0.50768,0.47137,0.46445,0.47449,0.54733,0.49332,0.46986,0.51660,0.49861,0.49206,0.46312,0.40430,0.43728,0.65766,0.33577,0.95675,0.91978,0.47453,0.98155,0.14131,alquran
0.52268,0.45806,0.48176,0.47376,0.53770,0.45867,0.50073,0.50944,0.50003,0.47616,0.44953,0.48369,0.53296,0.53487,0.45757,0.50517,0.51351,0.49641,0.43144,0.49489,0.49900,0.85210,0.36596,0.74824,0.84508,0.34702,0.81888,0.08138,bentuk
0.52794,0.45947,0.49352,0.47632,0.54092,0.46189,0.49897,0.51161,0.49748,0.47413,0.45964,0.48960,0.53124,0.53585,0.46126,0.50319,0.51314,0.49705,0.42884,0.49834,0.49813,0.90507,0.27158,0.85311,0.91395,0.30438,0.80573,0.08382,bentuk
0.53281,0.46010,0.49945,0.48024,0.54259,0.46568,0.50044,0.51552,0.49910,0.47401,0.46076,0.49347,0.52947,0.53868,0.46304,0.50255,0.51488,0.49670,0.42170,0.49707,0.49258,0.86898,0.22643,0.80126,0.89925,0.26861,0.80809,0.09261,bentuk
0.52364,0.46093,0.48857,0.47537,0.54209,0.46917,0.49623,0.51568,0.49814,0.47956,0.46114,0.48582,0.52910,0.53983,0.46868,0.50669,0.51491,0.49622,0.43741,0.49870,0.49681,0.88938,0.27292,0.86064,0.88587,0.29784,0.88724,0.07401,bentuk
0.52583,0.45934,0.49457,0.47612,0.54504,0.46733,0.49694,0.51526,0.49742,0.47792,0.46127,0.48991,0.53003,0.53714,0.46767,0.50434,0.51972,0.49568,0.43212,0.49960,0.49553,0.88253,0.23181,0.87347,0.89374,0.28082,0.81900,0.08017,bentuk
0.52715,0.46019,0.49579,0.47572,0.54115,0.46405,0.49785,0.51387,0.49723,0.47505,0.46211,0.49083,0.53148,0.53824,0.46552,0.50359,0.51403,0.49678,0.43037,0.50168,0.49814,0.89326,0.24776,0.85468,0.91075,0.27524,0.82788,0.08197,bentuk
0.53059,0.45880,0.49369,0.47253,0.54155,0.46235,0.49849,0.51004,0.49807,0.47267,0.46059,0.49179,0.53470,0.53784,0.46259,0.50516,0.50907,0.49749,0.43548,0.49785,0.49884,0.90647,0.25905,0.85320,0.91576,0.27350,0.88802,0.07618,bentuk
0.52467,0.45582,0.48435,0.47212,0.54067,0.46290,0.49982,0.50924,0.49860,0.47432,0.45932,0.48836,0.53246,0.53472,0.46211,0.50360,0.51000,0.49800,0.43813,0.49891,0.49959,0.87901,0.31688,0.83019,0.91675,0.31129,0.80398,0.07301,bentuk
0.52995,0.45957,0.49164,0.47469,0.53975,0.46426,0.49653,0.51303,0.49557,0.47631,0.46016,0.49104,0.53017,0.53705,0.46275,0.50596,0.51569,0.49492,0.43348,0.50045,0.49964,0.91652,0.27292,0.90174,0.90678,0.29107,0.86261,0.07833,bentuk
0.52557,0.45809,0.48489,0.47124,0.53937,0.46036,0.49641,0.51346,0.49715,0.47429,0.46007,0.48731,0.53124,0.53740,0.45920,0.50474,0.51231,0.49810,0.43950,0.49923,0.50003,0.89949,0.32799,0.84829,0.92039,0.32151,0.81756,0.07175,bentuk
0.53374,0.45557,0.49037,0.46877,0.53716,0.45325,0.49632,0.50835,0.49578,0.47052,0.45559,0.48547,0.53239,0.53436,0.45186,0.50232,0.50796,0.49766,0.43792,0.49775,0.49751,0.92080,0.29886,0.86478,0.92486,0.34162,0.78886,0.07181,bentuk
0.53261,0.45806,0.49491,0.47317,0.54297,0.45657,0.49831,0.51014,0.49658,0.46461,0.46107,0.49704,0.53302,0.53894,0.45532,0.50404,0.50833,0.49771,0.43445,0.49891,0.50122,0.88899,0.26908,0.88478,0.86300,0.26353,0.86206,0.07723,bentuk
0.52955,0.45961,0.49314,0.47425,0.54099,0.45865,0.49815,0.51223,0.49730,0.47265,0.45772,0.48520,0.53350,0.53606,0.45790,0.50363,0.51305,0.49883,0.43499,0.49993,0.49707,0.90397,0.28194,0.84102,0.91396,0.33441,0.76804,0.07673,bentuk
