@relation gesture

@attribute ERSRX real
@attribute ERSRY real
@attribute ERSRZ real
@attribute WRERX real
@attribute WRERY real
@attribute WRERZ real
@attribute HRWRX real
@attribute HRWRY real
@attribute HRWRZ real
@attribute ELSLX real
@attribute ELSLY real
@attribute ELSLZ real
@attribute WLELX real
@attribute WLELY real
@attribute WLELZ real
@attribute HLWLX real
@attribute HLWLY real
@attribute HLWLZ real
@attribute HLWRX real
@attribute HLWRY real
@attribute HLWRZ real
@attribute SCSRER real
@attribute SRERWR real
@attribute ERWRHR real
@attribute SCSLEL real
@attribute SLELWL real
@attribute ELWLHL real
@attribute DisHRHL real
@attribute name {bentuk,hai,alquran,hormat,wadah,hamba,ketua,gang}

@data
0.12560,0.05828,-0.11496,-0.11528,0.10648,0.04720,-0.04136,0.04032,0.03796,-0.09704,-0.14284,-0.11912,0.16456,-0.03944,-0.10028,0.05384,-0.00868,-0.02312,-0.15808,-0.40528,-0.24916,2.14162,1.06233,2.87104,2.84295,1.66241,2.94012,0.51293,alquran
0.12436,0.06428,-0.11804,-0.12480,0.09076,0.03160,-0.04548,0.03744,0.03180,-0.07936,-0.14332,-0.11876,0.18468,-0.02844,-0.10040,0.06548,0.00256,-0.02276,-0.10904,-0.38196,-0.21448,2.13798,1.06588,2.85549,2.68744,1.64007,2.93726,0.46104,alquran
0.09072,-0.16776,-0.07296,-0.10496,0.15080,-0.16532,0.00292,0.03776,0.00012,-0.09536,-0.20188,-0.06524,0.13184,0.13948,-0.16972,0.02068,0.05404,-0.01436,-0.27424,-0.02044,-0.00400,2.67695,1.14970,2.35067,2.65490,1.09020,2.57259,0.28191,bentuk
0.11176,-0.16212,-0.02592,-0.09472,0.16368,-0.15244,-0.00412,0.04644,-0.01008,-0.10348,-0.16144,-0.04160,0.12496,0.14340,-0.15496,0.01276,0.05256,-0.01180,-0.28464,-0.00664,-0.00748,2.84336,0.85319,2.68012,2.87126,0.95624,2.53128,0.29036,bentuk
0.13496,-0.17772,-0.03852,-0.12492,0.14864,-0.18700,-0.01472,0.03340,-0.01688,-0.11792,-0.17764,-0.05812,0.12956,0.13744,-0.19256,0.00928,0.03184,-0.00936,-0.24832,-0.00900,-0.00996,2.89278,0.93890,2.71679,2.90553,1.07323,2.47828,0.24876,bentuk
0.13044,-0.16776,-0.02036,-0.10732,0.17188,-0.17372,-0.00676,0.04056,-0.01368,-0.14156,-0.15572,-0.01184,0.13208,0.15576,-0.17872,0.01616,0.03332,-0.00916,-0.26220,-0.00436,0.00488,2.79284,0.84534,2.77962,2.71119,0.82790,2.70824,0.26753,bentuk
0.11820,-0.16156,-0.02744,-0.10300,0.16396,-0.16540,-0.00740,0.04892,-0.01080,-0.10940,-0.16912,-0.05920,0.13400,0.14424,-0.16840,0.01452,0.05220,-0.00468,-0.26004,-0.00028,-0.01172,2.83991,0.88574,2.64214,2.87129,1.05058,2.41287,0.26580,bentuk
0.12468,-0.16212,-0.02216,-0.11036,0.16244,-0.16948,-0.00564,0.03992,-0.01528,-0.10152,-0.18096,-0.06732,0.12976,0.15324,-0.16916,0.01252,0.03960,-0.01392,-0.28320,-0.01536,-0.01836,2.69618,0.83001,2.61271,2.73121,1.03082,2.62543,0.28426,bentuk
0.12044,-0.15424,-0.01764,-0.10888,0.16252,-0.16108,-0.01072,0.04500,-0.01396,-0.11024,-0.15632,-0.02400,0.12076,0.15648,-0.16572,0.01920,0.04092,-0.01072,-0.25804,0.00192,0.00796,2.79709,0.82197,2.75257,2.83183,0.87613,2.67742,0.26324,bentuk
0.12448,-0.15972,-0.01816,-0.10232,0.16988,-0.15844,-0.00140,0.03272,-0.00556,-0.13508,-0.15964,-0.01500,0.12868,0.14940,-0.15828,0.02252,0.03844,-0.01312,-0.26372,-0.00400,0.00668,2.77739,0.80814,2.68119,2.78442,0.80478,2.78898,0.26909,bentuk
