0.51791,0.45424,0.49211,0.49980,0.49857,0.43263,0.49994,0.49934,0.48010,0.47748,0.44153,0.48253,0.50120,0.45561,0.46826,0.50461,0.48343,0.49044,0.38633,0.42885,0.52672,0.82090,0.55774,0.91736,0.85105,0.84735,0.94280,0.15986,wadah
0.51337,0.44075,0.46922,0.49883,0.51496,0.43983,0.50087,0.50137,0.49882,0.47465,0.43938,0.48259,0.50035,0.45244,0.46609,0.50444,0.48460,0.49192,0.38827,0.42111,0.52582,0.77202,0.57411,0.42031,0.85632,0.84255,0.93166,0.16258,wadah
0.52026,0.44390,0.47950,0.51363,0.50215,0.52818,0.50601,0.50047,0.51636,0.47609,0.43989,0.48349,0.49905,0.45160,0.46732,0.50390,0.48316,0.49127,0.36100,0.42960,0.41062,0.80622,0.49013,0.86515,0.85356,0.85412,0.93897,0.22545,wadah
0.52277,0.45427,0.49957,0.49403,0.49837,0.43132,0.50106,0.50129,0.48518,0.47818,0.43928,0.48370,0.49781,0.44952,0.46837,0.50339,0.48335,0.49314,0.38328,0.41912,0.52231,0.83686,0.49613,0.76805,0.84381,0.87154,0.93099,0.16805,wadah
0.52300,0.45857,0.50691,0.49784,0.49548,0.43037,0.50070,0.49908,0.47851,0.47822,0.43931,0.48425,0.49843,0.45393,0.46818,0.50302,0.48236,0.49019,0.38000,0.42300,0.52042,0.83832,0.47863,0.98421,0.84618,0.85809,0.95129,0.16818,wadah
0.52566,0.45881,0.50723,0.49609,0.49229,0.42991,0.50074,0.50108,0.47930,0.47608,0.43914,0.48356,0.49902,0.45904,0.46856,0.50340,0.48571,0.49144,0.38391,0.43159,0.52183,0.84131,0.48317,0.94276,0.86738,0.84188,0.94057,0.15943,wadah
0.52857,0.45983,0.50824,0.49242,0.48966,0.42867,0.49960,0.50022,0.48052,0.47647,0.43856,0.48357,0.49747,0.45272,0.46826,0.50354,0.48233,0.49142,0.38484,0.42428,0.52200,0.84775,0.47668,0.96149,0.86559,0.86213,0.93310,0.16302,wadah
0.52715,0.45707,0.50407,0.49078,0.49211,0.42971,0.50025,0.50006,0.48436,0.47639,0.43932,0.48484,0.49674,0.45189,0.46712,0.50408,0.48251,0.49151,0.38267,0.42451,0.52169,0.84670,0.48886,0.88738,0.85322,0.85763,0.92229,0.16492,wadah
0.52180,0.44576,0.47805,0.49198,0.51480,0.43488,0.50166,0.49931,0.50035,0.47474,0.44097,0.48242,0.49676,0.45522,0.46555,0.50417,0.48278,0.49028,0.38390,0.41912,0.51857,0.81220,0.52705,0.33603,0.86496,0.85008,0.92207,0.16697,wadah
0.51805,0.43999,0.46978,0.49241,0.51848,0.43962,0.50123,0.50149,0.50088,0.47288,0.43980,0.48328,0.49708,0.44829,0.46601,0.50418,0.48443,0.49352,0.38622,0.41496,0.52139,0.79300,0.54915,0.61486,0.86738,0.85462,0.91345,0.16783,wadah
0.51935,0.44103,0.46789,0.49401,0.51912,0.44073,0.50129,0.50138,0.50107,0.47442,0.44139,0.48323,0.49776,0.45188,0.46606,0.50438,0.48296,0.49112,0.38523,0.41607,0.52288,0.79876,0.55678,0.33544,0.86531,0.85030,0.92524,0.16820,wadah
